model,family,accuracy,acc_lo,acc_hi,macro_f1,chance,notes
Generative char-5-gram LM,characters,0.8342696629213483,0.8061797752808989,0.8609550561797753,0.8430562108555104,0.2,"per-author Kneser-Ney LM, lowest perplexity wins"
Generative word-3-gram LM,words,0.7682584269662921,0.7359550561797753,0.7991573033707865,0.7668173464039383,0.2,"per-author Kneser-Ney LM, lowest perplexity wins"
SVM · function words only,funcword,0.726123595505618,0.6938202247191011,0.7584269662921348,0.7195955885245139,0.2,
SVM · structural only,structural,0.800561797752809,0.7696629213483146,0.8286516853932584,0.7994357867411522,0.2,
SVM · POS n-grams only,posngram,0.6109550561797753,0.574438202247191,0.6461025280898874,0.6023067300090792,0.2,
SVM · char n-grams only,charngram,0.7780898876404494,0.7457865168539326,0.8075842696629213,0.7726146841866284,0.2,
SVM · funcword + structural,funcword+structural,0.797752808988764,0.7682584269662921,0.8258426966292135,0.7982242423765745,0.2,
SVM · all stylometric,funcword+structural+charngram+posngram,0.7949438202247191,0.7654143258426966,0.824438202247191,0.7903070415511003,0.2,
SVM · scratch w2v (SIF pooled),embeddings,0.7668539325842697,0.7359550561797753,0.7963483146067416,0.7558865914766023,0.2,
SVM · scratch w2v (mean pooled),embeddings,0.7542134831460674,0.7232794943820224,0.7851123595505618,0.7404545448334539,0.2,
SVM · BanglaBERT frozen,embeddings,0.773876404494382,0.7443820224719101,0.8047752808988764,0.7531271050761232,0.2,
SVM · stylometric + scratch w2v,combined,0.7907303370786517,0.7598314606741573,0.8202247191011236,0.7837518523030891,0.2,
SVM · stylometric + BanglaBERT,combined,0.800561797752809,0.7710674157303371,0.8300912921348312,0.7835781477219748,0.2,
Fine-tuned BanglaBERT,pretrained transformer,0.7752808988764045,0.7457865168539326,0.8034058988764042,0.7628972008902805,0.2,
