author,feature,weight,direction,reads as
abanindranath,ch:তো ,0.07805699367273408,for,character n-gram “তো␣”
abanindranath,ch: তো ,0.07295160883422641,for,character n-gram “␣তো␣”
abanindranath,ch:ো ,0.06556915451530615,for,character n-gram “ো␣”
abanindranath,ch:লো ,0.06485980553420877,for,character n-gram “লো␣”
abanindranath,pos:PUNCT PUNCT,0.06284783484418545,for,POS pattern PUNCT–PUNCT
abanindranath,pos:PUNCT PUNCT NOUN,0.05802981740669746,for,POS pattern PUNCT–PUNCT–NOUN
abanindranath,ch: ',0.0559990330116217,for,character n-gram “␣'”
abanindranath,pos:VERB PUNCT PUNCT,0.05459793538107304,for,POS pattern VERB–PUNCT–PUNCT
abanindranath,ch:শিল্,0.05184221767502311,for,character n-gram “শিল্”
abanindranath,ch:িল্প,0.05098741102158969,for,character n-gram “িল্প”
abanindranath,ch: ত ,-0.059276464204254996,against,character n-gram “␣ত␣”
abanindranath,ch:হি,-0.058215458360606175,against,character n-gram “হি”
abanindranath,ch:াহ,-0.05087642678710786,against,character n-gram “াহ”
abanindranath,ch:িয়া,-0.04817426762556899,against,character n-gram “িয়া”
abanindranath,"ch:িল, ",-0.04700460962253446,against,"character n-gram “িল,␣”"
abanindranath,"ch:িল,",-0.0460312551205181,against,"character n-gram “িল,”"
abanindranath,ch:া',-0.045411707588464786,against,character n-gram “া'”
abanindranath,ch: তা',-0.045304366721113154,against,character n-gram “␣তা'”
abanindranath,ch:তা',-0.04529142425922168,against,character n-gram “তা'”
abanindranath,ch:হিল,-0.04525367478081863,against,character n-gram “হিল”
bankim,"ch:"" ",0.11477124414093047,for,"character n-gram “""␣”"
bankim,"ch: """,0.10411486334173377,for,"character n-gram “␣""”"
bankim,ch:ে',0.0919099208203453,for,character n-gram “ে'”
bankim,ch:সন,0.08850289384741268,for,character n-gram “সন”
bankim,pos:VERB PUNCT PUNCT,0.0804853030590402,for,POS pattern VERB–PUNCT–PUNCT
